OrderID,Distance_km,Pizza_Count,Traffic_Score,Rain,Weekend,Temperature_C,Prep_Time_min,Delivery_Time_min
PZ0092,7.28,1,3,0,1,19.1,8.8,55.2
PZ0093,7.73,2,4,0,1,18.4,9.6,65.0
PZ0094,5.83,6,2,0,0,16.8,16.2,57.6
PZ0095,7.82,2,2,0,0,22.3,10.9,54.9
PZ0096,5.19,3,3,1,0,17.0,13.5,55.1
PZ0097,5.47,4,1,0,1,23.6,11.6,48.8
PZ0098,4.56,2,2,1,1,21.7,12.6,49.9
PZ0099,0.74,1,5,0,1,20.6,9.2,37.6
PZ0100,1.52,4,2,1,0,16.6,13.1,47.6
PZ0101,0.8,4,2,0,0,18.5,12.4,33.1
PZ0102,6.55,1,1,0,0,26.5,7.4,52.9
PZ0103,3.49,2,4,1,0,25.0,11.8,55.0
PZ0104,5.33,1,2,0,1,16.1,9.5,48.1
PZ0105,9.12,6,3,0,1,22.6,14.9,74.1
PZ0106,2.87,4,4,1,1,26.5,12.0,59.6
PZ0107,4.4,5,5,1,1,12.0,14.6,67.9
PZ0108,7.68,5,1,0,0,25.3,17.0,62.4
PZ0109,2.67,3,5,0,1,18.0,11.9,60.3
PZ0110,1.23,1,4,0,1,25.4,7.6,37.8
PZ0111,3.25,1,4,0,1,17.4,9.1,49.7
PZ0112,2.03,3,4,0,0,11.2,11.9,42.5
PZ0113,9.33,3,5,0,0,12.2,9.0,72.3
PZ0114,8.18,3,4,0,0,22.3,12.1,72.2
PZ0115,6.52,4,5,1,1,23.6,13.3,72.8
PZ0116,8.78,6,4,1,0,16.6,17.2,88.5
PZ0117,8.13,1,3,0,0,25.8,11.6,61.8
PZ0118,2.27,4,4,0,0,12.0,15.0,47.5
PZ0119,8.98,3,5,0,0,21.6,11.9,74.8
PZ0120,5.62,1,2,0,0,14.7,8.1,48.2
