city,grade,gender,age,visit_count,avg_price,target
대전,Silver,Female,45,5,313994,0
대구,VIP,Male,28,4,299987,0
서울,Silver,Male,34,8,334464,0
서울,Bronze,Female,29,8,39793,0
서울,Silver,Female,43,4,158929,1
서울,Bronze,Male,61,8,29627,0
대구,Bronze,Female,27,2,333966,0
대구,Bronze,Male,43,3,232633,0
대전,Bronze,Female,35,4,327942,0
부산,Bronze,Male,45,4,234440,0
서울,Bronze,Female,46,3,185188,0
대구,Silver,Female,56,1,347462,0
광주,Bronze,Female,23,2,268191,0
부산,Bronze,Female,43,4,343478,0
광주,Gold,Male,38,5,133099,0
부산,Silver,Male,55,4,219074,1
부산,Silver,Male,58,6,183686,0
부산,Bronze,Male,29,7,284864,0
서울,Bronze,Female,44,4,329752,0
서울,Bronze,Male,37,3,117449,0
서울,Bronze,Male,38,4,112828,0
대구,Bronze,Female,55,4,136613,0
서울,Bronze,Female,29,4,82095,1
부산,Bronze,Female,52,7,115924,0
대전,Bronze,Female,24,8,106452,0
서울,Silver,Male,54,3,97593,1
부산,Bronze,Male,63,5,176964,0
광주,Bronze,Female,53,4,349386,1
서울,Silver,Female,52,7,136202,1
서울,Silver,Male,40,9,87606,0
서울,Bronze,Female,36,6,133769,0
서울,Gold,Male,41,5,128542,0
대전,Silver,Male,56,2,273068,0
광주,Bronze,Female,34,3,61322,0
대구,Gold,Female,54,6,167550,0
대전,Gold,Female,47,6,81042,0
광주,Bronze,Male,26,4,56418,0
서울,Bronze,Female,51,2,110699,1
대전,Gold,Male,30,2,100140,0
부산,Silver,Male,29,5,21781,0
광주,Bronze,Female,28,9,308277,0
대전,Bronze,Female,33,4,107628,0
서울,Bronze,Female,32,7,86946,0
서울,Silver,Female,44,2,95058,0
서울,Silver,Female,21,5,161542,1
부산,Bronze,Female,54,5,315273,0
광주,Silver,Male,26,7,280675,0
대전,Silver,Male,40,2,309182,0
서울,Bronze,Male,37,8,52674,1
부산,Bronze,Male,22,3,137572,0
부산,Silver,Female,61,6,235730,0
서울,Gold,Female,58,7,301975,0
서울,Silver,Male,60,8,67174,0
서울,Silver,Male,30,6,283423,0
대전,Bronze,Female,58,5,332754,0
서울,Bronze,Male,43,6,266008,1
부산,Silver,Female,65,6,63051,0
대구,Bronze,Female,38,4,213085,0
부산,Bronze,Female,23,2,328796,0
제주,Bronze,Female,45,5,75524,0
제주,Bronze,Female,57,9,278614,0
서울,Bronze,Male,61,4,325617,0
부산,Bronze,Female,51,3,241189,0
서울,Bronze,Female,58,5,54439,0
서울,Bronze,Male,64,4,286452,0
서울,Gold,Female,65,4,101563,0
대구,Silver,Female,55,3,237328,0
부산,Silver,Female,59,6,307225,0
서울,Gold,Female,56,6,216314,1
서울,Silver,Female,52,5,19837,1
대전,Bronze,Female,55,4,245207,0
서울,Silver,Female,22,8,128128,0
서울,Silver,Female,28,5,177896,0
부산,Silver,Female,27,4,174145,1
제주,Bronze,Female,52,1,107624,0
서울,Bronze,Female,25,3,199933,0
대구,Bronze,Male,60,4,40063,0
광주,Bronze,Female,58,4,79453,0
서울,Silver,Female,23,6,264371,0
대구,Silver,Male,32,5,112166,0
부산,Bronze,Female,21,6,24506,0
대구,VIP,Male,24,8,235413,0
대구,Silver,Male,63,4,123604,0
부산,Bronze,Female,46,6,36026,0
서울,Bronze,Male,51,3,324557,0
광주,Bronze,Female,40,7,265116,0
서울,Bronze,Female,27,6,337210,0
서울,Bronze,Female,57,7,200285,0
서울,Bronze,Male,27,4,60971,0
대구,Bronze,Male,22,3,123978,0
대구,Bronze,Female,63,2,169163,0
서울,Gold,Female,22,3,322638,0
부산,Bronze,Female,41,4,113864,1
서울,Silver,Male,25,3,105386,0
대구,Bronze,Female,21,8,96126,0
서울,VIP,Female,42,3,172023,1
대구,Bronze,Female,63,5,90863,0
부산,Bronze,Male,21,5,135659,0
대전,VIP,Female,57,1,200944,0
서울,Gold,Female,36,5,17235,1
서울,Gold,Female,54,7,72712,0
서울,Bronze,Male,53,5,162545,0
대전,Bronze,Female,42,8,208639,0
대전,Silver,Female,49,3,247890,0
서울,Gold,Male,27,5,135849,0
대구,Silver,Female,41,6,265493,0
광주,Silver,Female,63,6,89823,0
부산,Bronze,Male,55,2,114215,0
부산,Gold,Male,24,6,251071,0
서울,Bronze,Female,32,4,42230,0
서울,Bronze,Male,48,5,233660,0
대전,Bronze,Female,50,3,312788,0
대전,Silver,Male,35,6,189736,1
대구,Bronze,Female,61,9,317347,0
서울,Bronze,Male,49,5,338821,0
서울,Silver,Female,35,10,133246,0
대구,Bronze,Female,31,4,94817,0
대전,Silver,Female,36,4,248657,0
대전,Bronze,Female,35,1,227033,0
광주,Silver,Male,31,5,241414,0
대구,Silver,Female,27,5,266812,0
서울,Bronze,Male,39,2,341950,0
서울,Bronze,Male,22,4,314958,0
대전,Bronze,Male,35,5,80219,1
대구,Bronze,Female,49,8,180956,0
서울,VIP,Female,64,5,267134,0
서울,Bronze,Female,42,4,341466,1
대구,Gold,Male,47,2,31650,0
서울,Bronze,Male,59,6,310340,0
서울,Silver,Female,24,8,180521,0
부산,Gold,Male,39,5,180733,0
대구,Silver,Male,59,5,301853,0
대구,Silver,Male,63,2,252037,0
서울,Bronze,Female,20,9,90428,0
대구,Bronze,Female,49,5,216251,0
서울,Gold,Male,40,2,19943,0
서울,Gold,Male,39,2,184312,0
대구,VIP,Female,25,3,31042,0
대구,Bronze,Female,41,5,262842,0
광주,Silver,Male,37,1,316038,0
대구,Gold,Female,27,8,328903,0
부산,Bronze,Male,58,5,316450,0
서울,Bronze,Male,51,8,196443,0
부산,Silver,Female,52,7,161990,0
서울,Silver,Male,35,6,300523,0
서울,Gold,Female,31,8,224304,0
제주,Bronze,Male,57,7,154923,0
부산,Gold,Male,53,9,324493,0
대전,Bronze,Female,33,5,211904,0
대구,Bronze,Male,55,3,197428,0
광주,Bronze,Female,52,9,155817,0
부산,Gold,Male,42,7,15730,0
대구,Silver,Male,64,3,239502,0
부산,Silver,Male,21,6,212210,0
서울,Bronze,Female,60,5,224183,0
대구,Gold,Male,40,4,29023,0
서울,Bronze,Female,21,5,136796,0
서울,Gold,Male,46,4,314123,0
대구,Bronze,Female,28,4,294981,0
서울,Bronze,Male,20,7,186111,0
대전,Silver,Female,30,4,30923,0
제주,Bronze,Female,22,4,281020,0
대전,Silver,Female,42,4,333117,0
부산,Silver,Female,45,6,204795,1
서울,Bronze,Female,23,4,314566,0
대전,Gold,Female,37,5,243462,0
부산,Bronze,Male,25,4,61413,0
제주,Silver,Male,54,4,265719,0
제주,Gold,Female,41,7,38756,1
대전,Silver,Female,62,5,343720,0
서울,Bronze,Female,34,8,128248,0
부산,Gold,Female,41,1,282448,0
대전,Silver,Male,56,7,40341,0
서울,Bronze,Male,61,4,137039,0
서울,Bronze,Female,31,5,201830,0
부산,Gold,Male,61,4,172730,0
대전,Silver,Male,57,6,190074,0
대구,Silver,Female,37,4,244390,0
대구,Gold,Male,64,3,142447,0
서울,Gold,Female,54,2,109485,0
대구,Bronze,Male,49,5,294236,0
제주,Bronze,Female,43,10,141562,0
서울,Bronze,Male,61,3,13729,0
부산,Silver,Male,49,7,147046,0
대전,Bronze,Male,33,6,128222,0
대구,Silver,Male,25,4,93860,0
대구,Gold,Male,22,4,268360,1
대구,Gold,Male,35,3,31398,0
부산,Bronze,Female,26,5,306794,0
서울,Gold,Male,33,4,113889,0
광주,Bronze,Female,28,2,275303,0
광주,Gold,Female,34,6,235959,0
대전,Bronze,Female,40,5,112834,0
대전,Bronze,Male,54,8,31638,0
부산,Gold,Female,21,5,273217,1
부산,Bronze,Male,46,8,225379,0
광주,Bronze,Male,21,5,242069,0
대구,Silver,Female,54,4,39320,0
대구,Silver,Male,37,1,44924,0
광주,Silver,Female,33,5,222792,0
대전,Silver,Female,39,2,340260,0
서울,Silver,Female,37,4,181097,0
부산,Bronze,Female,29,4,12159,0
서울,Bronze,Male,44,3,58940,0
대구,Bronze,Male,21,6,89436,0
서울,Gold,Female,44,6,24678,0
부산,Silver,Male,52,6,202147,0
부산,Bronze,Male,55,4,147844,0
서울,Silver,Male,50,5,77163,0
대구,Gold,Male,33,1,251040,0
서울,Bronze,Male,20,4,214827,0
서울,Silver,Male,65,4,164536,0
광주,Silver,Female,35,9,61137,0
부산,Silver,Female,65,5,333641,0
서울,Bronze,Female,22,5,110485,0
부산,Gold,Male,54,5,250970,0
광주,Gold,Male,60,3,115468,0
서울,Silver,Male,25,6,10901,0
대구,Silver,Female,44,3,97980,0
서울,Gold,Female,32,6,275025,0
서울,Silver,Male,53,4,302007,0
부산,Bronze,Female,27,5,252434,0
부산,Silver,Male,40,7,212258,1
대구,Silver,Female,53,4,317345,0
대구,Bronze,Female,23,10,261839,0
제주,Silver,Female,44,5,331395,0
부산,Gold,Female,34,5,82572,0
서울,Gold,Female,23,2,49255,0
광주,Silver,Male,64,8,73212,0
서울,Bronze,Female,31,5,322354,0
부산,VIP,Male,51,5,32499,0
서울,Gold,Female,51,5,112552,0
서울,Bronze,Female,47,4,71360,0
제주,Gold,Female,32,2,153704,0
광주,Gold,Male,50,4,171679,0
대구,Silver,Female,33,10,101873,0
부산,Silver,Female,39,3,75756,0
서울,Bronze,Female,37,8,204454,1
서울,Bronze,Male,48,3,328488,0
서울,Bronze,Male,25,6,343298,0
부산,Gold,Male,51,1,37464,0
대구,Bronze,Male,48,4,131897,0
대구,Bronze,Female,62,10,309488,0
서울,Bronze,Male,21,7,93791,1
제주,Silver,Female,42,9,165371,0
대구,Gold,Male,38,6,189047,0
부산,Bronze,Male,50,6,142534,0
대구,Bronze,Female,24,6,91441,0
부산,Silver,Female,38,3,247612,0
서울,Silver,Female,53,10,241444,0
부산,Bronze,Female,29,6,286319,0
광주,Silver,Female,44,2,147263,0
서울,Bronze,Male,21,5,94518,0
서울,Bronze,Female,30,6,221230,0
서울,Silver,Female,50,4,338681,0
서울,Bronze,Female,34,6,57645,1
대전,Gold,Male,28,4,249608,0
대구,Bronze,Female,42,5,33283,0
부산,Silver,Male,38,4,200195,0
서울,Silver,Male,28,2,112780,0
부산,Bronze,Male,54,6,302878,0
부산,Silver,Male,40,4,10515,0
서울,Bronze,Female,28,3,338871,0
부산,VIP,Female,47,3,238872,0
부산,Bronze,Female,65,5,318360,0
대구,Bronze,Male,26,3,343977,0
대구,Bronze,Male,35,5,68755,0
서울,VIP,Male,35,4,37856,1
부산,Silver,Female,52,3,83870,0
대구,Silver,Male,23,4,147080,0
부산,Bronze,Female,23,11,280131,1
대전,Silver,Female,58,5,106502,0
대구,Bronze,Male,59,6,76323,0
서울,Gold,Female,36,4,282017,0
서울,Bronze,Female,56,5,223614,0
대구,Bronze,Female,58,5,177516,0
서울,Bronze,Female,48,4,115219,0
대구,Silver,Male,55,7,15033,0
대전,Silver,Male,57,4,345468,0
대구,Bronze,Female,58,6,287833,0
부산,Gold,Female,56,4,119756,0
대구,Silver,Male,54,1,272210,0
부산,Silver,Female,26,7,124159,0
부산,Bronze,Female,46,4,186318,0
대전,Bronze,Female,47,3,17533,0
부산,Silver,Male,41,6,211224,0
제주,Bronze,Female,33,7,252653,0
대전,Bronze,Female,26,2,331802,0
서울,Gold,Male,56,7,310642,0
서울,Gold,Male,41,3,119028,0
서울,Bronze,Female,24,3,283916,0
서울,Bronze,Male,21,3,260231,0
서울,Silver,Female,46,4,22940,0
대구,Bronze,Female,40,5,26932,0
서울,Bronze,Male,57,4,236377,0
서울,Bronze,Female,34,4,34648,0
광주,Silver,Male,40,2,42966,0
서울,Silver,Female,29,5,265733,0
광주,Bronze,Male,42,8,173639,0
서울,Bronze,Female,58,7,256331,0
서울,Bronze,Male,24,7,52598,0
대구,Silver,Male,20,6,200271,0
대구,Bronze,Female,32,4,333228,0
대전,Bronze,Male,40,3,185309,0
대구,Gold,Female,45,6,206569,0
광주,Bronze,Male,64,7,141250,0
서울,Silver,Female,40,1,258004,1
서울,Bronze,Male,37,7,27118,0
광주,Bronze,Female,56,4,32616,0
광주,Bronze,Male,64,5,141870,0
제주,Silver,Male,51,5,279745,0
부산,Gold,Male,55,4,297507,1
부산,Gold,Male,36,11,12795,0
광주,Bronze,Female,54,2,107462,0
서울,Silver,Male,30,6,344977,0
대전,Bronze,Female,40,3,275228,0
대전,Bronze,Male,45,3,272875,0
부산,Gold,Male,23,4,142201,0
광주,Bronze,Female,53,8,169094,0
광주,Bronze,Female,37,2,273749,0
서울,Bronze,Male,59,3,87506,0
대전,Bronze,Male,54,5,250313,0
부산,Bronze,Male,60,7,54130,0
광주,Silver,Female,48,2,173402,0
서울,Bronze,Female,48,5,340613,0
대전,Gold,Male,57,7,156259,0
부산,Gold,Female,61,4,211682,0
서울,Bronze,Female,40,6,233034,0
대전,Bronze,Female,61,4,109694,0
서울,Bronze,Female,32,5,29773,0
서울,Silver,Male,60,7,276383,0
제주,Bronze,Male,36,3,293007,0
제주,Silver,Male,28,4,323559,0
대구,Bronze,Male,60,4,78968,0
대구,Silver,Female,20,5,70430,0
부산,Bronze,Female,21,10,260072,0
서울,Bronze,Male,48,7,11515,0
서울,Gold,Male,52,7,107206,0
대구,Gold,Male,29,6,255282,1
광주,Bronze,Female,59,2,245702,0
광주,Gold,Male,40,1,328384,0
광주,Silver,Female,47,10,15586,0
서울,Gold,Male,30,3,255277,0
부산,Gold,Male,53,6,41186,0
서울,Bronze,Female,27,5,36928,0
부산,Bronze,Female,41,3,239336,0
부산,Bronze,Male,27,5,224159,1
대전,Silver,Female,34,1,30711,0
부산,Silver,Female,36,4,64962,0
서울,Bronze,Female,42,4,30039,0
서울,Bronze,Male,43,5,46561,0
광주,Gold,Female,64,3,216555,0
대구,VIP,Female,38,2,229730,0
서울,Silver,Female,24,1,11577,0
서울,Bronze,Male,51,3,117792,0
대구,Bronze,Male,63,7,257980,0
서울,Bronze,Male,20,4,248540,0
광주,Gold,Female,42,5,238506,0
대구,Bronze,Male,56,5,222489,0
서울,Silver,Female,27,3,20785,1
서울,Bronze,Female,32,4,82227,0
제주,Silver,Male,27,4,334101,0
부산,Silver,Female,42,5,75431,0
부산,Gold,Male,62,5,344038,0
광주,Bronze,Female,20,2,257941,0
대전,Bronze,Male,64,6,204844,0
제주,Bronze,Female,43,4,160653,0
광주,Gold,Female,54,7,327336,0
부산,Gold,Female,43,4,273606,0
서울,Silver,Female,36,9,205245,0
광주,Silver,Female,24,5,348250,0
부산,Silver,Female,39,9,320809,0
부산,Bronze,Female,40,5,185486,0
대전,Gold,Female,59,5,82573,0
서울,Bronze,Male,50,6,234737,0
부산,Bronze,Female,65,6,129682,0
서울,Silver,Female,55,5,23386,0
부산,Bronze,Female,30,3,64460,0
서울,Bronze,Male,34,4,125375,0
서울,Silver,Female,38,6,162117,0
서울,Bronze,Male,26,1,126582,0
대구,Silver,Female,47,3,253015,0
대구,Bronze,Male,62,5,163778,0
대구,Bronze,Female,24,5,314915,0
제주,Bronze,Female,24,4,62335,0
부산,Bronze,Male,49,5,239087,0
서울,Silver,Female,51,10,62949,1
대전,Bronze,Male,27,1,105558,0
서울,Silver,Female,29,5,274860,0
제주,Silver,Female,57,1,157646,0
서울,Silver,Female,51,6,252887,1
제주,Gold,Female,47,5,202898,0
서울,Silver,Female,36,5,161285,0
대전,Bronze,Male,50,4,81916,0
부산,Bronze,Male,27,6,207223,0
제주,Bronze,Female,59,5,269590,0
서울,Silver,Female,44,3,258090,0
부산,Bronze,Female,28,8,60906,0
제주,Silver,Female,21,6,272607,0
부산,Silver,Male,34,3,84694,0
대구,Bronze,Female,22,9,340838,0
대구,Gold,Male,55,2,292152,0
부산,Bronze,Female,23,5,80474,0
대구,Bronze,Male,33,5,48185,0
대구,Silver,Male,60,2,272048,0
대전,Silver,Male,60,4,266574,0
서울,Silver,Male,44,4,212211,0
서울,Bronze,Female,29,7,307124,0
제주,Bronze,Male,40,5,32504,0
대전,Gold,Male,55,5,64970,0
부산,Gold,Male,31,2,288910,0
대구,Silver,Male,46,7,126944,1
서울,Bronze,Male,59,4,183615,1
서울,Silver,Male,21,4,174211,0
부산,Bronze,Female,32,4,130494,0
부산,Bronze,Female,51,5,244941,0
대구,Gold,Female,50,7,18802,1
서울,Bronze,Male,35,8,181277,0
제주,VIP,Male,51,3,306303,1
제주,Bronze,Female,51,4,21516,0
